Date,Price,Volume
2020-01-01,100.0,495
2020-01-02,99.97572566680118,631
2020-01-03,99.4221745908494,360
2020-01-06,97.83878599972452,904
2020-01-07,98.39594737766579,355
2020-01-08,97.60603395593259,833
2020-01-09,97.41024560830306,325
2020-01-10,97.69018913645633,152
2020-01-13,95.67422771487642,966
2020-01-14,93.90986791213118,599
2020-01-15,93.62880524780024,605
2020-01-16,94.05537638917512,953
2020-01-17,94.75779427361016,463
2020-01-20,93.26183404151584,379
2020-01-21,93.85746220644793,692
2020-01-22,93.62772770177448,813
2020-01-23,92.80448824144746,257
2020-01-24,92.20455056679086,731
2020-01-27,92.9468717168234,158
2020-01-28,93.20190075998812,826
2020-01-29,93.24879919089817,227
2020-01-30,93.47613270480514,835
2020-01-31,94.34772095339214,820
2020-02-03,94.2561541871528,981
2020-02-04,94.30736698837431,214
2020-02-05,95.38687752819617,308
2020-02-06,95.07111120976832,625
2020-02-07,95.66060441390836,620
2020-02-10,95.17996917008142,651
2020-02-11,94.78496867105414,336
2020-02-12,94.68639643264962,380
2020-02-13,95.17554888155372,458
2020-02-14,96.31893156610957,300
2020-02-17,96.41196783625732,857
2020-02-18,94.97673553229815,377
2020-02-19,95.57836007746343,334
2020-02-20,97.95271450273354,593
2020-02-21,98.05921642930113,103
2020-02-24,96.39784716677555,765
2020-02-25,96.56152770500405,541
2020-02-26,96.55861873316415,128
2020-02-27,96.47454426068553,208
2020-02-28,97.3909492190053,709
2020-03-02,98.742557155612,826
2020-03-03,99.41985953456516,904
2020-03-04,99.28766134338052,174
2020-03-05,100.41163578483206,937
2020-03-06,98.9228049903889,245
2020-03-09,98.21699221404286,227
2020-03-10,97.6249366656351,952
2020-03-11,97.59472579066589,141
2020-03-12,98.09052723295669,455
2020-03-13,97.89384429380009,140
2020-03-16,97.01089697336235,133
2020-03-17,97.96123262749191,116
2020-03-18,97.73084765500583,776
2020-03-19,97.83071010061306,252
2020-03-20,98.37131176177832,477
2020-03-23,98.40956360989368,687
2020-03-24,98.45215631048522,698
2020-03-25,99.47192481090714,728
2020-03-26,99.62260895696699,973
2020-03-27,100.48586855790728,441
2020-03-30,101.03467559997408,126
2020-03-31,103.09311986246337,924
2020-04-01,103.5160621284963,386
2020-04-02,104.17857802526855,745
2020-04-03,105.33261340718542,830
2020-04-06,105.39964497606258,267
2020-04-07,104.7294896520255,709
2020-04-08,104.23409477925377,367
2020-04-09,103.75104296339228,848
2020-04-10,102.7697348949048,920
2020-04-13,103.09686196280947,554
2020-04-14,102.44988869470609,784
2020-04-15,102.64970980846185,500
2020-04-16,102.48696010769089,575
2020-04-17,102.44431238039012,801
2020-04-20,103.01554751329246,733
2020-04-21,102.45881698465077,657
2020-04-22,103.11551274358109,675
2020-04-23,104.74438163815522,229
2020-04-24,105.10438637673985,921
2020-04-27,104.28557562135333,462
2020-04-28,103.64616879706733,804
2020-04-29,103.38917295652175,918
2020-04-30,102.7759466188512,792
2020-05-01,101.76228358597582,391
