Date,Price,Volume
2020-01-01,100.0,202
2020-01-02,98.09952002375137,535
2020-01-03,98.07351348701872,960
2020-01-06,98.13260116261775,370
2020-01-07,100.57986196018543,206
2020-01-08,100.38657153460932,171
2020-01-09,100.68974144380473,800
2020-01-10,100.65479631802462,120
2020-01-13,99.48531287842313,714
2020-01-14,100.62877515993041,221
2020-01-15,101.38828809648557,566
2020-01-16,102.19348231903273,314
2020-01-17,101.26836045779066,430
2020-01-20,102.69895796759283,558
2020-01-21,101.269315674226,187
2020-01-22,101.86536911738158,472
2020-01-23,104.12130223207168,199
2020-01-24,103.09503408179047,971
2020-01-27,102.51285922178744,763
2020-01-28,102.61506560196092,230
2020-01-29,102.09972213226213,761
2020-01-30,100.52871110444474,408
2020-01-31,100.5976602133912,869
2020-02-03,99.53466365546076,443
2020-02-04,100.00717028304936,591
2020-02-05,99.09189420618623,513
2020-02-06,100.63971770557501,905
2020-02-07,99.85453281067853,485
2020-02-10,99.53345709649109,291
2020-02-11,100.34648146974924,376
2020-02-12,99.11892272597711,260
2020-02-13,99.34463516816068,559
2020-02-14,100.65173559164788,413
2020-02-17,99.04671063170807,121
2020-02-18,99.22975332268942,352
2020-02-19,99.48796976306969,847
2020-02-20,100.26883799102256,956
2020-02-21,99.03620115829882,660
2020-02-24,97.73706721719832,574
2020-02-25,98.24853120647566,158
2020-02-26,98.54074799058728,610
2020-02-27,98.78789493246029,781
2020-02-28,99.13073736847636,575
2020-03-02,98.4589107302589,799
2020-03-03,98.68785094876326,882
2020-03-04,98.97750211097528,289
2020-03-05,98.2729743192436,786
2020-03-06,100.12373827750052,662
2020-03-09,100.59928326572587,975
2020-03-10,99.40795076837158,666
2020-03-11,100.06276450580894,343
2020-03-12,99.09220867990533,931
2020-03-13,99.87522565864019,604
2020-03-16,101.03910491509576,230
2020-03-17,100.2132881475587,584
2020-03-18,101.18338437884223,918
2020-03-19,101.6019133002983,746
2020-03-20,102.44058461973488,120
2020-03-23,104.40221566721718,940
2020-03-24,104.14633911085403,266
2020-03-25,103.36430144189785,373
2020-03-26,102.4489382449116,487
2020-03-27,101.61654924401937,700
2020-03-30,101.5382313436044,415
2020-03-31,101.88522257220431,113
2020-04-01,102.16751997430715,341
2020-04-02,103.01613755798415,876
2020-04-03,103.02953247558371,445
2020-04-06,104.53803860579676,664
2020-04-07,104.26173732967267,997
2020-04-08,107.1367584049814,439
2020-04-09,107.8091794858002,191
2020-04-10,106.88903413874269,466
2020-04-13,105.75047474537939,554
2020-04-14,106.26192442469966,527
2020-04-15,106.02473368385958,608
2020-04-16,106.78445980279746,875
2020-04-17,107.29100167178638,134
2020-04-20,107.21289124882851,305
2020-04-21,106.30885229538256,180
2020-04-22,104.71057191362047,661
2020-04-23,104.24406583840283,971
2020-04-24,105.14064442577897,487
2020-04-27,105.36598510210537,101
2020-04-28,104.06154201211298,489
2020-04-29,104.24191289292511,665
2020-04-30,104.64434993227752,205
2020-05-01,103.72351847711782,871
2020-05-04,103.8830901852517,921
2020-05-05,103.94357680326537,576
2020-05-06,102.76229629655724,802
2020-05-07,103.13062532834967,501
2020-05-08,103.71059057492707,829
2020-05-11,104.83993406047225,655
2020-05-12,105.95058116988548,261
2020-05-13,104.50094102015466,301
2020-05-14,103.52548620745289,369
2020-05-15,104.06005439765555,962
2020-05-18,104.59607616077851,915
2020-05-19,105.13618554748658,370
2020-05-20,109.26584195250582,555
2020-05-21,109.8914142430313,561
2020-05-22,111.1464155805664,826
2020-05-25,112.21182829286916,351
2020-05-26,112.94515213600455,801
2020-05-27,112.58963152605206,395
2020-05-28,113.44740316863127,824
2020-05-29,112.5740321941595,819
2020-06-01,112.30775136528938,848
2020-06-02,111.76397120164363,437
2020-06-03,111.8555144612232,978
2020-06-04,114.47478434477691,152
2020-06-05,112.35706974742929,891
2020-06-08,113.1307833960352,316
2020-06-09,111.32093835213601,863
2020-06-10,110.79681709114679,287
2020-06-11,112.00993282005052,479
2020-06-12,112.08195597202403,592
2020-06-15,110.88048457172991,140
2020-06-16,110.09018225335228,256
2020-06-17,110.84090069722205,114
2020-06-18,110.03430488312756,912
2020-06-19,110.27274155276174,164
2020-06-22,110.32300632241999,956
2020-06-23,109.60647821476606,938
2020-06-24,111.98175110526213,620
2020-06-25,112.69387950096694,443
2020-06-26,110.43462156535907,228
2020-06-29,110.64072376577985,747
2020-06-30,109.91093591347868,571
2020-07-01,110.85185803910784,162
2020-07-02,109.97680613918277,238
2020-07-03,109.85069502691584,598
2020-07-06,110.40683008648296,692
2020-07-07,111.36683259218931,491
2020-07-08,110.03809087422358,774
2020-07-09,109.6706270285387,518
2020-07-10,109.15098650869488,388
2020-07-13,108.44019563674138,478
2020-07-14,110.37165703567108,872
2020-07-15,110.81954838762425,589
2020-07-16,109.4310147785124,330
2020-07-17,110.44006417756057,140
2020-07-20,112.80882029819017,127
2020-07-21,113.97956554765094,234
2020-07-22,112.26088389064617,300
2020-07-23,111.71859247988831,939
2020-07-24,113.14297154051631,879
2020-07-27,112.34511968508407,132
2020-07-28,112.84483725438166,147
2020-07-29,113.72236622233426,602
2020-07-30,112.6731094100478,506
2020-07-31,112.60606029807666,673
2020-08-03,109.01471382417141,827
2020-08-04,107.90368092605868,904
2020-08-05,107.63149446670421,198
2020-08-06,106.29683095049798,783
2020-08-07,108.0462726278941,971
2020-08-10,106.51205506522075,825
2020-08-11,106.04438437344717,646
2020-08-12,106.18311808462238,838
2020-08-13,107.72458872170232,712
2020-08-14,106.18886395501137,561
2020-08-17,107.43122567286935,742
2020-08-18,107.44221973825165,868
2020-08-19,106.39282343890693,104
2020-08-20,106.88560607832873,317
2020-08-21,107.09858414682078,602
2020-08-24,106.45768568402747,866
2020-08-25,106.53202130915692,497
2020-08-26,106.12232875348252,970
2020-08-27,106.24286440529458,894
2020-08-28,106.94866508278172,492
2020-08-31,108.65841148870632,306
2020-09-01,107.32171084166443,114
2020-09-02,109.63550805803148,957
2020-09-03,107.51608052723036,653
2020-09-04,107.35301093120184,991
2020-09-07,107.98644865070813,560
2020-09-08,108.29030850047535,790
2020-09-09,107.61808042210058,674
2020-09-10,107.39433616289057,963
2020-09-11,106.86618404899315,842
2020-09-14,106.23820478508995,340
2020-09-15,107.14465194537031,663
